Timestamp,Name (Optional):,Where do you normally go to use computer and the internet?,E-learning can give a greater number of benefits as opposed to inconveniences to my academic achievement.,"In comparison to chalk and talk, e-learning makes my instruction more successful.",E-learning has the potential to improve my computer and internet skills.,E-learning allows me to learn in a variety of ways and can make learning more enjoyable.,"Even though I am far from a teacher, E-learning provides me with a good instructional learning program.","In my learning, e-learning gives full information with great exercises.",,,,,,
9/7/2021 13:35:45,,Friend's Home,Neutral,Disagree,Agree,Disagree,Agree,Neutral,,,,,,
9/7/2021 13:55:03,,House,Neutral,Disagree,Agree,Neutral,Neutral,Agree,,,,,,
9/7/2021 14:28:55,,House,Neutral,Strongly agree,Neutral,Neutral,Neutral,Strongly Disagree,,,,,,
9/7/2021 14:46:03,,House,Neutral,Disagree,Agree,Neutral,Disagree,Disagree,,,,,,
9/7/2021 15:37:20,Christian,House,Neutral,Agree,Agree,Neutral,Agree,Agree,,,,,,
9/7/2021 18:36:26,,House,Strongly agree,Agree,Agree,Agree,Strongly agree,Strongly Agree,,,,,,
9/7/2021 18:36:37,,House,Agree,Strongly agree,Agree,Strongly Agree,Agree,Agree,,,,,,
9/7/2021 18:36:51,,House,Agree,Agree,Agree,Agree,Neutral,Agree,,,,,,
9/7/2021 18:37:26,,House,Disagree,Strongly agree,Agree,Disagree,Neutral,Agree,,,,,,
9/7/2021 18:37:39,,House,Agree,Agree,Agree,Agree,Agree,Agree,,,,,,
9/7/2021 18:37:49,,House,Agree,Agree,Agree,Agree,Agree,Agree,,,,,,
9/7/2021 18:37:59,,House,Strongly agree,Strongly agree,Agree,Strongly Agree,Agree,Agree,,,,,,
9/7/2021 18:41:23,,House,Disagree,Disagree,Strongly agree,Agree,Neutral,Agree,,,,,,
9/7/2021 18:57:54,,House,Neutral,Neutral,Agree,Neutral,Neutral,Neutral,,,,,,
9/7/2021 19:04:01,Micaela Alegre,House,Strongly agree,Neutral,Neutral,Agree,Agree,Strongly Agree,,,,,,
9/7/2021 19:23:36,Kenneth Peji,House,Agree,Neutral,Strongly agree,Agree,Agree,Agree,,,,,,
9/7/2021 19:36:32,,House,Disagree,Neutral,Strongly agree,Neutral,Neutral,Neutral,,,,,,
9/7/2021 19:39:56,Odiver daryl,House,Neutral,Agree,Agree,Agree,Agree,Strongly Agree,,,,,,
9/7/2021 21:46:03,,House,Agree,Agree,Agree,Agree,Agree,Agree,,,,,,
9/7/2021 21:48:13,,House,Agree,Neutral,Strongly agree,Agree,Agree,Agree,,,,,,
9/7/2021 21:50:14,,Friend's Home,Neutral,Neutral,Agree,Agree,Agree,Agree,,,,,,
9/7/2021 21:50:34,,House,Agree,Agree,Neutral,Neutral,Agree,Neutral,,,,,,
9/7/2021 21:50:47,,House,Strongly agree,Agree,Strongly agree,Agree,Agree,Strongly Agree,,,,,,
9/7/2021 21:51:01,,House,Strongly agree,Agree,Agree,Strongly Agree,Agree,Agree,,,,,,
9/7/2021 21:51:17,,House,Neutral,Neutral,Disagree,Neutral,Disagree,Neutral,,,,,,
9/8/2021 5:02:20,,Internet Cafe,Disagree,Disagree,Agree,Neutral,Disagree,Neutral,,,,,,
9/8/2021 21:02:00,,House,Agree,Agree,Strongly agree,Agree,Strongly agree,Agree,,,,,,
9/8/2021 21:02:16,,House,Agree,Strongly agree,Strongly agree,Agree,Strongly agree,Agree,,,,,,
9/8/2021 21:02:30,,House,Neutral,Neutral,Disagree,Neutral,Disagree,Neutral,,,,,,
9/8/2021 21:02:44,,House,Agree,Agree,Neutral,Neutral,Agree,Agree,,,,,,
9/8/2021 21:02:57,,House,Strongly agree,Strongly agree,Agree,Agree,Strongly agree,Agree,,,,,,
9/8/2021 21:03:11,,House,Agree,Agree,Strongly agree,Agree,Strongly agree,Agree,,,,,,
9/8/2021 21:22:57,Ivan,House,Agree,Neutral,Agree,Neutral,Neutral,Neutral,,,,,,
9/9/2021 10:12:57,,House,Strongly agree,Agree,Agree,Agree,Strongly agree,Agree,,,,,,
9/9/2021 10:13:08,,House,Strongly agree,Agree,Strongly agree,Agree,Agree,Strongly Agree,,,,,,
9/9/2021 10:13:18,,House,Agree,Strongly agree,Agree,Agree,Strongly agree,Agree,,,,,,
9/9/2021 10:13:49,,Friend's Home,Neutral,Neutral,Agree,Neutral,Agree,Neutral,,,,,,
9/9/2021 10:14:01,,House,Strongly agree,Agree,Agree,Agree,Agree,Agree,,,,,,
9/9/2021 10:14:13,,House,Agree,Agree,Strongly agree,Agree,Agree,Agree,,,,,,
9/9/2021 10:14:24,,House,Agree,Agree,Strongly agree,Agree,Agree,Strongly Agree,,,,,,
9/9/2021 10:14:35,,House,Strongly agree,Agree,Strongly agree,Agree,Agree,Strongly Agree,,,,,,
9/9/2021 10:14:46,,House,Agree,Strongly agree,Agree,Agree,Agree,Strongly Agree,,,,,,
9/9/2021 10:14:57,,House,Agree,Agree,Strongly agree,Agree,Strongly agree,Agree,,,,,,
9/9/2021 10:15:08,,House,Agree,Agree,Strongly agree,Agree,Agree,Strongly Agree,,,,,,
9/9/2021 10:16:50,,House,Disagree,Neutral,Agree,Neutral,Agree,Neutral,,,,,,
9/9/2021 10:17:07,,House,Disagree,Neutral,Agree,Agree,Neutral,Disagree,,,,,,
9/9/2021 10:17:22,,House,Strongly agree,Agree,Agree,Strongly Agree,Agree,Neutral,,,,,,
9/9/2021 13:36:32,,House,Agree,Neutral,Agree,Agree,Agree,Agree,,,,,,
9/9/2021 16:43:15,,House,Agree,Agree,Neutral,Strongly Agree,Agree,Agree,,,,,,
9/9/2021 16:43:29,,House,Agree,Strongly agree,Agree,Agree,Strongly agree,Agree,,,,,,
9/9/2021 16:45:55,,House,Strongly disagree,Neutral,Agree,Neutral,Disagree,Disagree,,,,,,
9/9/2021 16:46:30,,Friend's Home,Agree,Neutral,Neutral,Disagree,Disagree,Strongly Disagree,,,,,,
9/9/2021 16:46:46,,House,Agree,Agree,Neutral,Agree,Agree,Neutral,,,,,,
9/9/2021 16:47:08,,House,Agree,Neutral,Agree,Disagree,Disagree,Disagree,,,,,,
9/9/2021 16:47:26,,House,Strongly agree,Agree,Agree,Agree,Neutral,Strongly Agree,,,,,,
9/9/2021 16:47:50,,House,Agree,Neutral,Agree,Disagree,Disagree,Neutral,,,,,,
9/9/2021 16:48:08,,House,Agree,Neutral,Agree,Agree,Neutral,Agree,,,,,,
9/9/2021 16:48:29,,House,Agree,Neutral,Agree,Agree,Neutral,Disagree,,,,,,
9/9/2021 16:48:44,,House,Agree,Agree,Agree,Agree,Agree,Agree,,,,,,
9/9/2021 16:49:02,,House,Agree,Neutral,Neutral,Agree,Strongly agree,Agree,,,,,,
9/9/2021 16:49:23,,House,Strongly agree,Strongly agree,Strongly agree,Strongly Agree,Strongly agree,Strongly Agree,,,,,,
9/9/2021 16:50:00,,House,Agree,Strongly agree,Agree,Strongly Agree,Agree,Strongly Agree,,,,,,
9/9/2021 16:50:33,,House,Neutral,Neutral,Strongly agree,Agree,Neutral,Neutral,,,,,,
9/9/2021 16:51:08,,House,Disagree,Disagree,Neutral,Neutral,Disagree,Disagree,,,,,,
9/9/2021 16:51:36,,House,Neutral,Neutral,Neutral,Agree,Neutral,Neutral,,,,,,
9/9/2021 16:52:07,,House,Agree,Neutral,Agree,Agree,Agree,Agree,,,,,,
9/9/2021 16:52:37,,House,Neutral,Neutral,Agree,Neutral,Neutral,Agree,,,,,,
9/9/2021 16:52:51,,House,Agree,Agree,Neutral,Agree,Agree,Neutral,,,,,,
9/9/2021 16:54:36,,House,Neutral,Neutral,Strongly agree,Agree,Agree,Agree,,,,,,
9/9/2021 16:54:55,,House,Agree,Agree,Strongly agree,Agree,Agree,Agree,,,,,,
9/9/2021 16:55:28,,House,Agree,Neutral,Disagree,Neutral,Neutral,Neutral,,,,,,
9/9/2021 16:56:11,,Friend's Home,Disagree,Disagree,Neutral,Agree,Disagree,Neutral,,,,,,
9/9/2021 16:56:37,,House,Neutral,Neutral,Agree,Neutral,Neutral,Neutral,,,,,,
9/9/2021 16:57:10,,House,Strongly agree,Agree,Neutral,Strongly Agree,Agree,Agree,,,,,,
9/9/2021 16:58:19,,House,Strongly agree,Strongly agree,Agree,Strongly Agree,Strongly agree,Agree,,,,,,
9/9/2021 16:58:36,,House,Agree,Agree,Agree,Agree,Agree,Agree,,,,,,
9/9/2021 16:59:04,,House,Strongly agree,Agree,Agree,Agree,Agree,Strongly Agree,,,,,,
9/9/2021 16:59:23,,House,Agree,Agree,Strongly agree,Neutral,Neutral,Neutral,,,,,,
9/9/2021 16:59:59,,House,Strongly agree,Strongly agree,Strongly agree,Strongly Agree,Strongly agree,Strongly Agree,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
